body_acc_x,body_acc_y,body_acc_z,body_gyro_x,body_gyro_y,body_gyro_z,total_acc_x,total_acc_y,total_acc_z
-0.5663082888591677,-0.13441614648515096,-0.5954370558614034,-0.41523545349868063,-0.08698573315317869,-0.044985477685968334,-0.45613403729740704,0.6426785220891527,0.7155328761930243
-0.08359517552070474,0.22971377915294786,-0.2932445808394286,0.4622676025108985,0.19664471381398024,0.4175689802192681,0.39867754499772007,-0.8578955244580587,0.275009044247568
-0.2971932597318358,0.35377410842854723,0.374833035315242,0.7682025360158516,0.6608874535772445,0.5558586387953386,0.4794478006299472,0.8319419319880966,-0.18239202235780447
-1.1662062081754097,-0.38745008098619965,0.24008862702262088,0.2923855053857872,-0.5543397061119021,0.25404272033261854,-0.019033403204222494,0.20148801148596357,-1.2078251125133188
0.6099260917222706,-0.7217917509666394,0.0389819518823557,-0.2841154916707075,-0.20991921491673435,-0.7773266552738153,0.7419434917996904,-0.7395882354849473,-0.22256952437580507
0.3799370728609255,-0.20542212656828238,-0.7521910347602465,0.9340670064596679,0.020701869814304903,0.25913165502184166,-0.6073395841804293,0.19225249421039547,-0.3955192344190382
-0.8101079031545817,0.03842989757250191,-0.0949863221023146,0.7200339625549567,0.17866628737488693,-0.6213594007705278,-0.631579612157766,0.789073106309227,0.39662841616167377
-0.5823055114301451,0.1074371420330251,0.8958617150458621,-0.6124979291085735,-0.23110067307025736,-0.43911776208803005,-0.29344965838430004,-0.7350172967029753,-0.4851363539782102
0.10095999479018894,0.0028034543731233035,-0.15913820916797228,-0.504673100191526,0.2909954779560537,-0.4975469339527804,0.09148331455968467,0.1661506078097819,0.26808220555628964
0.08970861506830693,0.09754447510099346,1.006215120686249,0.5467907003623698,0.4012660920622103,-0.6157535757906494,0.2626544104941883,0.37510864187687704,0.1351948044362661
0.9049298351576839,1.011858648940399,-0.1333964456370635,0.43141496134065255,0.229477434273368,-0.0403656233142049,0.02438968799958584,0.16665615389361602,-0.3156000179258409
